Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
29677  2327.032  0.0784  0.1856   0.000   1.622   1.957  29677    0    0    0  1554333308       7690      52375      64888  GET /api/audience/dashboard HTTP/2
20731  3563.035  0.1719  0.5861   0.000   4.731   7.300  20731    0    0    0           0          0          0          0  get /api/contestant/notifications?.*
11560    76.199  0.0066  0.0205   0.000   0.162   0.205  11558    0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
 7095   674.306  0.0950  0.4209   0.000   5.876   8.949   7095    0    0    0   319282579       2473      45001     105858  get /packs/.*
 6099   926.089  0.1518  0.4827   0.000   3.856   5.803   6099    0    0    0     3047299        123        499        569  GET /api/session HTTP/2
 5644  1443.811  0.2558  0.7136   0.000   7.323   8.947   5642    0    2    0    16347619          0       2896      11601  GET /api/contestant/benchmark_jobs HTTP/2
 4929  1801.321  0.3655  0.4262   0.000   2.015   2.028   4927    0    2    0   520590368         61     105617     157904  GET /api/contestant/dashboard HTTP/2
 3142   694.156  0.2209  0.5609   0.000   3.215   8.944   3140    0    2    0    19889987          0       6330      12728  GET /api/contestant/clarifications HTTP/2
 2248   152.315  0.0678  0.3285   0.000   4.666   5.800   2248    0    0    0     2585200       1150       1150       1150  GET /favicon.ico HTTP/2
 2033   690.282  0.3395  0.7056   0.001   5.876   8.944   1929    0  104    0      120140         53         59        127  POST /api/contestant/benchmark_jobs HTTP/2
 1971  4709.824  2.3896  2.3389   0.282  10.797  10.815   1971    0    0    0      157006         77         79         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 1918   243.438  0.1269  0.3874   0.000   4.635   4.671   1916    0    2    0      530753         61        276        313  get /api/contestant/benchmark_jobs/:id
 1905   185.032  0.0971  0.3775   0.000   4.720   4.730   1905    0    0    0      481965        253        253        253  GET / HTTP/2
  481    97.286  0.2023  0.3274   0.000   2.212   2.212    479    0    2    0      185307         61        385        430  POST /api/contestant/clarifications HTTP/2
