Top 50 Sort By Count
Count     Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
30956   183.161  0.0059  0.0129  0.000  0.131  0.158  30956     0    0    0   599598360         95      19369      32599  GET /api/audience/dashboard HTTP/2
22809  1659.462  0.0728  0.1058  0.000  0.953  2.742  22808     0    1    0          61          0          0         61  get /api/contestant/notifications?.*
 6042    94.739  0.0157  0.0390  0.000  0.405  0.701   6040     0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
 4071   514.322  0.1263  0.1483  0.001  1.103  3.025   4068     0    3    0    11690570          0       2871       7499  GET /api/contestant/benchmark_jobs HTTP/2
 4068   778.343  0.1913  0.1664  0.001  1.262  1.461   4065     0    3    0   218100540         61      53613      83906  GET /api/contestant/dashboard HTTP/2
 4021    38.087  0.0095  0.0166  0.000  0.125  0.174   1241  2780    0    0     1427150          0        354       1150  GET /favicon.ico HTTP/2
 3903    43.151  0.0111  0.0189  0.000  0.150  0.162   3903     0    0    0   176000404       2473      45093     105858  get /packs/.*
 2979   362.391  0.1216  0.1608  0.000  1.245  2.341   2979     0    0    0     1456600        123        488        562  GET /api/session HTTP/2
 2214  1850.699  0.8359  1.0659  0.003  9.451  9.890   2214     0    0    0       91189          5         41         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 1450    10.765  0.0074  0.0138  0.000  0.142  0.153     60  1390    0    0       23460          0         16        391  GET /contestant/clarifications HTTP/2
 1448   971.994  0.6713  0.9157  0.000  5.814  5.852   1446     0    2    0     7057981          0       4874      10102  GET /api/contestant/clarifications HTTP/2
 1143    14.696  0.0129  0.0180  0.000  0.156  0.174    120  1023    0    0       46920          0         41        391  GET /contestant HTTP/2
 1081    63.888  0.0591  0.0784  0.002  0.838  0.866   1076     0    5    0       61989         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 1045   155.810  0.1491  0.1553  0.002  0.995  2.399   1043     0    2    0      287653         61        275        311  get /api/contestant/benchmark_jobs/:id
 1043    11.558  0.0111  0.0177  0.000  0.155  0.174   1043     0    0    0      405727        389        389        389  GET / HTTP/2
  352    62.235  0.1768  0.2332  0.001  2.877  2.877    350     0    2    0      134399         61        381        422  POST /api/contestant/clarifications HTTP/2
  314    14.375  0.0458  0.0312  0.002  0.273  0.273    312     0    2    0      119836         61        381        421  get /api/admin/clarifications/:id
  314   143.328  0.4565  1.2828  0.001  9.271  9.271    310     0    2    2      136335         61        434        493  put /api/admin/clarifications/:id
  199     2.678  0.0135  0.0132  0.000  0.102  0.102    198     0    1    0          77          0          0         77  POST /api/signup HTTP/2
  198     4.755  0.0240  0.0203  0.000  0.101  0.101    197     1    0    0       76633          0        387        389  GET /signup HTTP/2
  180     9.917  0.0551  0.0319  0.002  0.160  0.160    180     0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  124     4.821  0.0389  0.0216  0.002  0.131  0.131    122     0    2    0         152          0          1         97  POST /api/registration/contestant HTTP/2
  124     1.010  0.0081  0.0058  0.000  0.025  0.025    124     0    0    0       48236        389        389        389  get /registration?
   74     3.514  0.0475  0.0248  0.002  0.113  0.113     61     0   13    0        1017          2         13         91  POST /api/registration/team HTTP/2
   65     5.077  0.0781  0.2504  0.001  1.527  1.527     63     0    2    0      532077          0       8185     134355  GET /api/admin/clarifications HTTP/2
   63     0.147  0.0023  0.0068  0.000  0.039  0.039      1    62    0    0         386          0          6        386  GET /admin/clarifications HTTP/2
   61     4.103  0.0673  0.0177  0.003  0.120  0.120     61     0    0    0       29612        444        485        505  GET /api/registration/session HTTP/2
    4     0.004  0.0010  0.0000  0.001  0.001  0.001      2     0    2    0         274          0         68        137  POST /api/login HTTP/2
    2     0.209  0.1045  0.0065  0.098  0.111  0.111      2     0    0    0          56         28         28         28  POST /initialize HTTP/2

Top 50 Sort By Total
Count     Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 2214  1850.699  0.8359  1.0659  0.003  9.451  9.890   2214     0    0    0       91189          5         41         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
22809  1659.462  0.0728  0.1058  0.000  0.953  2.742  22808     0    1    0          61          0          0         61  get /api/contestant/notifications?.*
 1448   971.994  0.6713  0.9157  0.000  5.814  5.852   1446     0    2    0     7057981          0       4874      10102  GET /api/contestant/clarifications HTTP/2
 4068   778.343  0.1913  0.1664  0.001  1.262  1.461   4065     0    3    0   218100540         61      53613      83906  GET /api/contestant/dashboard HTTP/2
 4071   514.322  0.1263  0.1483  0.001  1.103  3.025   4068     0    3    0    11690570          0       2871       7499  GET /api/contestant/benchmark_jobs HTTP/2
 2979   362.391  0.1216  0.1608  0.000  1.245  2.341   2979     0    0    0     1456600        123        488        562  GET /api/session HTTP/2
30956   183.161  0.0059  0.0129  0.000  0.131  0.158  30956     0    0    0   599598360         95      19369      32599  GET /api/audience/dashboard HTTP/2
 1045   155.810  0.1491  0.1553  0.002  0.995  2.399   1043     0    2    0      287653         61        275        311  get /api/contestant/benchmark_jobs/:id
  314   143.328  0.4565  1.2828  0.001  9.271  9.271    310     0    2    2      136335         61        434        493  put /api/admin/clarifications/:id
 6042    94.739  0.0157  0.0390  0.000  0.405  0.701   6040     0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
