Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
41378  3127.658  0.0756  0.1918   0.000   1.589   2.017  41378    0    0    0  1752309223       6090      42348      55041  GET /api/audience/dashboard HTTP/2
20916  4251.470  0.2033  0.5284   0.001   5.529   8.574  20916    0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 8465   154.872  0.0183  0.0610   0.001   0.484   0.555   8463    0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
 5910   203.276  0.0344  0.2347   0.000   3.895   4.914   5910    0    0    0   266975479       2473      45173     105858  get /packs/.*
 5326  1440.759  0.2705  0.6479   0.002   5.618   8.574   5324    0    2    0    18734272          0       3517      16627  GET /api/contestant/benchmark_jobs HTTP/2
 5117  1912.575  0.3738  0.3029   0.001   1.996   2.008   5115    0    2    0   438460814         61      85687     132058  GET /api/contestant/dashboard HTTP/2
 4110   540.806  0.1316  0.4667   0.000   8.458   8.511   4110    0    0    0     2003953        123        487        574  GET /api/session HTTP/2
 1883    35.749  0.0190  0.2144   0.000   3.232   8.459   1883    0    0    0     2165450       1150       1150       1150  GET /favicon.ico HTTP/2
 1855   554.802  0.2991  0.7801   0.001   5.618   5.619   1853    0    2    0     8816458          0       4752      10141  GET /api/contestant/clarifications HTTP/2
 1623   865.987  0.5336  0.8882   0.002   5.706   5.708   1618    0    5    0       93201         52         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 1617  4407.250  2.7256  2.3290   0.712  10.623  10.676   1617    0    0    0      128742         77         79         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 1588   482.836  0.3041  0.7550   0.001   8.493   8.551   1586    0    2    0      438236         61        275        313  get /api/contestant/benchmark_jobs/:id
 1586    58.913  0.0371  0.3984   0.000   8.459   8.460   1586    0    0    0      401258        253        253        253  GET / HTTP/2
  374   243.552  0.6512  1.0760   0.001   5.653   5.653    372    0    2    0      142673         61        381        432  POST /api/contestant/clarifications HTTP/2
  335    34.677  0.1035  0.0639   0.001   0.215   0.215    333    0    2    0      127734         61        381        432  get /api/admin/clarifications/:id
  335   465.061  1.3882  2.5296   0.001   7.240   7.240    333    0    2    0      145576         61        434        510  put /api/admin/clarifications/:id
  298     1.755  0.0059  0.0050   0.000   0.032   0.032    297    0    1    0          77          0          0         77  POST /api/signup HTTP/2
  296     2.302  0.0078  0.0065   0.000   0.025   0.025    296    0    0    0       74888        253        253        253  GET /signup HTTP/2
  261     4.394  0.0168  0.0175   0.002   0.092   0.092    261    0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  178     0.304  0.0017  0.0024   0.000   0.018   0.018    178    0    0    0       45034        253        253        253  get /registration?
  178     3.892  0.0219  0.0135   0.002   0.066   0.066    176    0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
  174     8.279  0.0476  0.0070   0.037   0.067   0.067    174    0    0    0       44022        253        253        253  GET /contestant HTTP/2
  119     3.453  0.0290  0.0165   0.001   0.093   0.093     88    0   31    0        2277          2         19         91  POST /api/registration/team HTTP/2
   88     2.448  0.0278  0.0199   0.003   0.092   0.092     88    0    0    0       19702        223        223        224  GET /api/registration/session HTTP/2
   87     0.857  0.0099  0.0068   0.000   0.036   0.036     87    0    0    0       22011        253        253        253  GET /contestant/clarifications HTTP/2
   63     2.010  0.0319  0.0748   0.001   0.395   0.395     61    0    2    0      623142          0       9891     162767  GET /api/admin/clarifications HTTP/2
    6     0.013  0.0022  0.0017   0.001   0.005   0.005      4    0    2    0         274          0         45        137  POST /api/login HTTP/2
    2     0.241  0.1205  0.0075   0.113   0.128   0.128      2    0    0    0          56         28         28         28  POST /initialize HTTP/2
    1     0.000  0.0000  0.0000   0.000   0.000   0.000      1    0    0    0         252        252        252        252  GET /admin/clarifications HTTP/2

Top 50 Sort By Total
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 1617  4407.250  2.7256  2.3290   0.712  10.623  10.676   1617    0    0    0      128742         77         79         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
20916  4251.470  0.2033  0.5284   0.001   5.529   8.574  20916    0    0    0           0          0          0          0  get /api/contestant/notifications?.*
41378  3127.658  0.0756  0.1918   0.000   1.589   2.017  41378    0    0    0  1752309223       6090      42348      55041  GET /api/audience/dashboard HTTP/2
 5117  1912.575  0.3738  0.3029   0.001   1.996   2.008   5115    0    2    0   438460814         61      85687     132058  GET /api/contestant/dashboard HTTP/2
 5326  1440.759  0.2705  0.6479   0.002   5.618   8.574   5324    0    2    0    18734272          0       3517      16627  GET /api/contestant/benchmark_jobs HTTP/2
 1623   865.987  0.5336  0.8882   0.002   5.706   5.708   1618    0    5    0       93201         52         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 1855   554.802  0.2991  0.7801   0.001   5.618   5.619   1853    0    2    0     8816458          0       4752      10141  GET /api/contestant/clarifications HTTP/2
 4110   540.806  0.1316  0.4667   0.000   8.458   8.511   4110    0    0    0     2003953        123        487        574  GET /api/session HTTP/2
 1588   482.836  0.3041  0.7550   0.001   8.493   8.551   1586    0    2    0      438236         61        275        313  get /api/contestant/benchmark_jobs/:id
