Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
23934   141.640  0.0059  0.0135   0.000   0.098   0.739  23934     0    0    0   283303744         87      11836      23775  GET /api/audience/dashboard HTTP/2
19101  2815.625  0.1474  0.1757   0.001   1.652   2.769  19100     0    1    0      108244          0          5        123  get /api/contestant/notifications?.*
 5715   217.931  0.0381  0.1017   0.001   1.122   1.314   5713     0    2    0        1776          0          0         61  GET /api/contestant/notifications HTTP/2
 3933   829.029  0.2108  0.2011   0.000   1.629   1.825   3930     0    3    0   178468656         61      45377      71424  GET /api/contestant/dashboard HTTP/2
 3875   554.305  0.1430  0.1755   0.001   1.510   1.863   3872     0    3    0     8971569          0       2315       7449  GET /api/contestant/benchmark_jobs HTTP/2
 3327    40.338  0.0121  0.0251   0.000   0.146   0.149   3327     0    0    0   148945300       2473      44768     105858  get /packs/.*
 3226    25.175  0.0078  0.0137   0.000   0.083   0.133   1049  2177    0    0     1206350          0        373       1150  GET /favicon.ico HTTP/2
 2367   407.518  0.1722  0.2242   0.000   1.907   2.585   2367     0    0    0     1132752        123        478        572  GET /api/session HTTP/2
 2064  1910.534  0.9256  1.1268   0.003  10.028  10.664   2064     0    0    0       76199          5         36         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 1051   877.939  0.8353  1.0274   0.001   5.520   6.445   1049     0    2    0     3916015          0       3725       7666  GET /api/contestant/clarifications HTTP/2
 1049     8.056  0.0077  0.0158   0.000   0.126   0.134     60   989    0    0       23460          0         22        391  GET /contestant/clarifications HTTP/2
  944     9.764  0.0103  0.0163   0.000   0.121   0.121    120   824    0    0       46920          0         49        391  GET /contestant HTTP/2
  890    55.245  0.0621  0.0801   0.001   0.818   0.818    885     0    5    0       51081         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
  862   154.202  0.1789  0.1969   0.000   2.233   2.233    860     0    2    0      239147         61        277        311  get /api/contestant/benchmark_jobs/:id
  860     6.585  0.0077  0.0151   0.000   0.099   0.099    860     0    0    0      334540        389        389        389  GET / HTTP/2
  265    67.592  0.2551  0.1979   0.001   1.097   1.097    263     0    2    0      102059         61        385        440  POST /api/contestant/clarifications HTTP/2
