Top 50 Sort By Count
Count     Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
41147  3785.437  0.0920  0.2412  0.000  1.953  2.000  41147     0    0    0  1618616040       4761      39337      53225  GET /api/audience/dashboard HTTP/2
15851  2720.895  0.1717  0.5166  0.001  5.062  5.494  15851     0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 6146    66.157  0.0108  0.0343  0.001  0.319  0.399   6144     0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
 5887  2993.960  0.5086  0.3002  0.001  2.306  4.590   5887     0    0    0      155915          5         26         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 5814   204.627  0.0352  0.1751  0.000  3.457  5.696   5814     0    0    0   265639309       2473      45689     105858  get /packs/.*
 5762   248.484  0.0431  0.2051  0.000  3.176  5.048   1877  3885    0    0     2158550          0        374       1150  GET /favicon.ico HTTP/2
 4291   925.718  0.2157  0.6048  0.001  5.807  6.614   4289     0    2    0    19317394          0       4501      11886  GET /api/contestant/benchmark_jobs HTTP/2
 4096  1481.651  0.3617  0.3674  0.001  2.003  2.027   4094     0    2    0   328215754         61      80130     129912  GET /api/contestant/dashboard HTTP/2
 4086   546.587  0.1338  0.4605  0.000  5.535  5.806   4086     0    0    0     2056311        123        503        574  GET /api/session HTTP/2
 1926   114.977  0.0597  0.2611  0.000  5.492  5.492     61  1865    0    0       23851          0         12        391  GET /contestant/clarifications HTTP/2
 1924   400.524  0.2082  0.5939  0.001  5.806  5.812   1922     0    2    0    12070560          0       6273      12969  GET /api/contestant/clarifications HTTP/2
 1765    53.881  0.0305  0.0814  0.000  1.049  2.870    122  1643    0    0       47702          0         27        391  GET /contestant HTTP/2
 1700   293.715  0.1728  0.5361  0.002  5.803  5.803   1695     0    5    0       97763         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 1679   287.826  0.1714  0.3961  0.001  4.801  4.858   1677     0    2    0      464020         61        276        313  get /api/contestant/benchmark_jobs/:id
 1677    52.456  0.0313  0.0778  0.000  1.061  2.297   1677     0    0    0      652353        389        389        389  GET / HTTP/2
  422   130.627  0.3095  0.7111  0.002  5.494  5.494    420     0    2    0      161406         61        382        436  POST /api/contestant/clarifications HTTP/2
  385   245.573  0.6379  1.2723  0.001  5.400  5.400    383     0    2    0      167589         61        435        508  put /api/admin/clarifications/:id
