Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 8834   172.689  0.0195  0.0428   0.000   0.476   0.573  8832     0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
 8340   531.198  0.0637  0.0867   0.001   0.614   0.699  8340     0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 3436    65.191  0.0190  0.0505   0.000   0.333   0.336  3436     0    0    0    36375508       7202      10586      12016  GET /api/audience/dashboard HTTP/2
 3181   326.661  0.1027  0.1423   0.001   0.836   0.982  3179     0    2    0     1915146          0        602       1466  GET /api/contestant/benchmark_jobs HTTP/2
 3178   454.077  0.1429  0.1564   0.001   0.980   1.307  3176     0    2    0   138720960         61      43650      53694  GET /api/contestant/dashboard HTTP/2
 2529    64.382  0.0255  0.0487   0.000   0.204   0.214  2529     0    0    0   104384446       2473      41274     105858  get /packs/.*
 2091    21.867  0.0105  0.0224   0.000   0.195   0.195   723  1368    0    0      831450          0        397       1150  GET /favicon.ico HTTP/2
 1731    99.152  0.0573  0.1146   0.000   0.820   0.831  1731     0    0    0      666345        123        384        578  GET /api/session HTTP/2
 1183  2382.841  2.0142  1.9285   0.005  10.590  10.780  1183     0    0    0       34949          5         29         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  585    12.775  0.0218  0.0363   0.000   0.116   0.116   114   471    0    0       44574          0         76        391  GET /contestant/clarifications HTTP/2
  519   114.851  0.2213  0.2898   0.001   1.129   1.129   517     0    2    0     1110534          0       2139       4934  GET /api/contestant/clarifications HTTP/2
  516    17.177  0.0333  0.0287   0.000   0.106   0.106   240   276    0    0       93840          0        181        391  GET /contestant HTTP/2
  396    23.885  0.0603  0.0855   0.001   0.571   0.571   391     0    5    0       22839         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
  382     2.638  0.0069  0.0131   0.000   0.094   0.094   381     0    1    0          77          0          0         77  POST /api/signup HTTP/2
