Top 50 Sort By Count
Count    Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
28747  266.989  0.0093  0.0162  0.000  0.185  0.288  28747     0    0    0  1473799053        114      51267      74542  GET /api/audience/dashboard HTTP/2
 8603  282.053  0.0328  0.0341  0.002  0.230  0.254   8603     0    0    0      123184          0         14         97  get /api/contestant/notifications?.*
 3507   26.967  0.0077  0.0124  0.000  0.079  0.083   3507     0    0    0   162281580       2473      46273     105858  get /packs/.*
 3003   21.751  0.0072  0.0113  0.000  0.082  0.287   1149  1854    0    0     1321350          0        440       1150  GET /favicon.ico HTTP/2
 2245  833.210  0.3711  0.3651  0.001  2.700  7.305   2245     0    0    0       91467          5         40         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 2097  141.944  0.0677  0.0467  0.002  0.313  0.326   2095     0    2    0    84606084         61      40346      74542  GET /api/contestant/dashboard HTTP/2
 2095   17.820  0.0085  0.0164  0.002  0.196  0.201   2093     0    2    0        1433          0          0         61  GET /api/contestant/notifications HTTP/2
 2077   73.060  0.0352  0.0370  0.002  0.255  0.382   2075     0    2    0    15975833          0       7691      17667  GET /api/contestant/benchmark_jobs HTTP/2
 1933   51.678  0.0267  0.0343  0.000  0.279  0.296   1933     0    0    0      763853         34        395        471  GET /api/session HTTP/2
 1098    8.793  0.0080  0.0118  0.000  0.084  0.204     40  1058    0    0       10120          0          9        253  GET /contestant HTTP/2
 1081   27.657  0.0256  0.0197  0.002  0.160  0.237   1076     0    5    0       62235         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 1073   20.769  0.0194  0.0216  0.001  0.168  0.188   1071     0    2    0      296052         61        275        311  get /api/contestant/benchmark_jobs/:id
 1071    6.178  0.0058  0.0111  0.000  0.084  0.204   1071     0    0    0      270963        253        253        253  GET / HTTP/2
  569   61.252  0.1076  0.1106  0.002  0.571  0.571    567     0    2    0     2914664          0       5122      11032  GET /api/contestant/clarifications HTTP/2
  567    5.264  0.0093  0.0121  0.000  0.189  0.189     20   547    0    0        5060          0          8        253  GET /contestant/clarifications HTTP/2
  227    4.185  0.0184  0.0115  0.001  0.087  0.087    225     0    2    0       86613         61        381        420  get /api/admin/clarifications/:id
  227    7.208  0.0318  0.0311  0.002  0.303  0.303    225     0    2    0       86607         61        381        420  POST /api/contestant/clarifications HTTP/2
  227   10.622  0.0468  0.0573  0.001  0.400  0.400    225     0    2    0       98467         61        433        494  put /api/admin/clarifications/:id
  148   29.946  0.2023  0.2650  0.001  1.055  1.055    146     0    2    0     3485350          0      23549      98339  GET /api/admin/clarifications HTTP/2
  145    0.605  0.0042  0.0079  0.000  0.043  0.043      1   144    0    0         252          0          1        252  GET /admin/clarifications HTTP/2
   79    0.976  0.0124  0.0100  0.001  0.044  0.044     78     0    1    0          77          0          0         77  POST /api/signup HTTP/2
