Top 30 Sort By Count
Count     Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
11497  1820.354  0.1583  0.1802  0.002  1.560  1.990  11497     0    0    0   246569994          2      21446      25122  GET /api/audience/dashboard HTTP/2
 2984    32.468  0.0109  0.0137  0.000  0.118  0.127   1238  1746    0    0   296431657          0      99340     492294  get /packs/.*
 1596   581.121  0.3641  0.1905  0.001  0.665  0.666   1596     0    0    0       34450          5         21         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 1006     7.808  0.0078  0.0132  0.000  0.156  0.156   1004     0    2    0         864          0          0         61  GET /api/contestant/notifications HTTP/2
  994     8.042  0.0081  0.0096  0.000  0.057  0.057    402   592    0    0      462300          0        465       1150  GET /favicon.ico HTTP/2
  858   167.234  0.1949  0.2590  0.001  1.645  1.645    856     0    2    0    14492129         61      16890      25122  GET /api/contestant/dashboard HTTP/2
  849   125.115  0.1474  0.2245  0.001  2.261  2.261    847     0    2    0     5423965          0       6388      15168  GET /api/contestant/benchmark_jobs HTTP/2
  639    57.075  0.0893  0.2046  0.000  2.390  2.390    639     0    0    0      219938         34        344        471  GET /api/session HTTP/2
  367     2.934  0.0080  0.0094  0.000  0.067  0.067     20   347    0    0        7820          0         21        391  GET /contestant HTTP/2
  362    12.672  0.0350  0.0413  0.000  0.310  0.310    357     0    5    0       20839         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
  356     3.111  0.0087  0.0108  0.000  0.073  0.073    356     0    0    0      138484        389        389        389  GET / HTTP/2
  103    21.700  0.2107  1.0700  0.000  8.571  8.571    101     0    2    0      331337          0       3216      20947  GET /api/admin/clarifications HTTP/2
  102    59.186  0.5803  0.9083  0.001  3.579  3.579    100     0    2    0      158898          0       1557       3141  GET /api/contestant/clarifications HTTP/2
  101     0.313  0.0031  0.0050  0.000  0.022  0.022      1   100    0    0         386          0          3        386  GET /admin/clarifications HTTP/2
  100     0.776  0.0078  0.0096  0.000  0.065  0.065     10    90    0    0        3910          0         39        391  GET /contestant/clarifications HTTP/2
   50     7.335  0.1467  0.1928  0.000  0.950  0.950     48     0    2    0       18636         61        372        412  POST /api/contestant/clarifications HTTP/2
   47     0.962  0.0205  0.0194  0.000  0.124  0.124     46     0    1    0          77          0          1         77  POST /api/signup HTTP/2
   46     0.442  0.0096  0.0106  0.000  0.046  0.046     45     1    0    0       17505          0        380        389  GET /signup HTTP/2
   33     9.025  0.2735  0.1235  0.046  0.545  0.545     33     0    0    0          66          2          2          2  GET /api/contestant/notifications?after=1137 HTTP/2
   30    10.036  0.3345  0.3046  0.083  1.218  1.218     30     0    0    0          60          2          2          2  GET /api/contestant/notifications?after=1146 HTTP/2
   30    10.925  0.3642  0.3583  0.072  1.803  1.803     30     0    0    0          60          2          2          2  GET /api/contestant/notifications?after=1133 HTTP/2
   30     9.975  0.3325  0.2652  0.040  1.370  1.370     30     0    0    0          60          2          2          2  GET /api/contestant/notifications?after=1130 HTTP/2
   30    10.150  0.3383  0.2823  0.075  1.501  1.501     30     0    0    0          60          2          2          2  GET /api/contestant/notifications?after=1144 HTTP/2
   30     9.262  0.3087  0.2122  0.084  0.998  0.998     30     0    0    0          60          2          2          2  GET /api/contestant/notifications?after=1131 HTTP/2
   30    10.807  0.3602  0.3126  0.081  1.357  1.357     30     0    0    0          60          2          2          2  GET /api/contestant/notifications?after=1128 HTTP/2
   29    10.701  0.3690  0.2800  0.047  1.255  1.255     29     0    0    0          58          2          2          2  GET /api/contestant/notifications?after=1142 HTTP/2
   29    10.376  0.3578  0.2530  0.065  1.250  1.250     29     0    0    0          58          2          2          2  GET /api/contestant/notifications?after=1141 HTTP/2
   29     9.146  0.3154  0.2255  0.059  0.960  0.960     29     0    0    0          58          2          2          2  GET /api/contestant/notifications?after=1145 HTTP/2
   29    10.122  0.3490  0.2290  0.049  0.920  0.920     29     0    0    0          58          2          2          2  GET /api/contestant/notifications?after=1135 HTTP/2
   29     8.111  0.2797  0.1681  0.051  0.754  0.754     29     0    0    0          58          2          2          2  GET /api/contestant/notifications?after=1165 HTTP/2

Top 30 Sort By Total
Count     Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
11497  1820.354  0.1583  0.1802  0.002  1.560  1.990  11497     0    0    0   246569994          2      21446      25122  GET /api/audience/dashboard HTTP/2
 1596   581.121  0.3641  0.1905  0.001  0.665  0.666   1596     0    0    0       34450          5         21         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
  858   167.234  0.1949  0.2590  0.001  1.645  1.645    856     0    2    0    14492129         61      16890      25122  GET /api/contestant/dashboard HTTP/2
  849   125.115  0.1474  0.2245  0.001  2.261  2.261    847     0    2    0     5423965          0       6388      15168  GET /api/contestant/benchmark_jobs HTTP/2
  102    59.186  0.5803  0.9083  0.001  3.579  3.579    100     0    2    0      158898          0       1557       3141  GET /api/contestant/clarifications HTTP/2
  639    57.075  0.0893  0.2046  0.000  2.390  2.390    639     0    0    0      219938         34        344        471  GET /api/session HTTP/2
 2984    32.468  0.0109  0.0137  0.000  0.118  0.127   1238  1746    0    0   296431657          0      99340     492294  get /packs/.*
  103    21.700  0.2107  1.0700  0.000  8.571  8.571    101     0    2    0      331337          0       3216      20947  GET /api/admin/clarifications HTTP/2
  362    12.672  0.0350  0.0413  0.000  0.310  0.310    357     0    5    0       20839         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
   26    10.987  0.4226  0.2797  0.091  1.247  1.247     26     0    0    0          52          2          2          2  GET /api/contestant/notifications?after=1127 HTTP/2
   30    10.925  0.3642  0.3583  0.072  1.803  1.803     30     0    0    0          60          2          2          2  GET /api/contestant/notifications?after=1133 HTTP/2
   30    10.807  0.3602  0.3126  0.081  1.357  1.357     30     0    0    0          60          2          2          2  GET /api/contestant/notifications?after=1128 HTTP/2
   29    10.701  0.3690  0.2800  0.047  1.255  1.255     29     0    0    0          58          2          2          2  GET /api/contestant/notifications?after=1142 HTTP/2
   28    10.456  0.3734  0.3248  0.083  1.294  1.294     28     0    0    0          56          2          2          2  GET /api/contestant/notifications?after=1143 HTTP/2
   24    10.441  0.4350  0.2687  0.112  1.089  1.089     24     0    0    0          48          2          2          2  GET /api/contestant/notifications?after=1156 HTTP/2
   29    10.376  0.3578  0.2530  0.065  1.250  1.250     29     0    0    0          58          2          2          2  GET /api/contestant/notifications?after=1141 HTTP/2
   30    10.150  0.3383  0.2823  0.075  1.501  1.501     30     0    0    0          60          2          2          2  GET /api/contestant/notifications?after=1144 HTTP/2
   29    10.122  0.3490  0.2290  0.049  0.920  0.920     29     0    0    0          58          2          2          2  GET /api/contestant/notifications?after=1135 HTTP/2
   25    10.046  0.4018  0.3339  0.059  1.515  1.515     25     0    0    0          50          2          2          2  GET /api/contestant/notifications?after=1158 HTTP/2
   30    10.036  0.3345  0.3046  0.083  1.218  1.218     30     0    0    0          60          2          2          2  GET /api/contestant/notifications?after=1146 HTTP/2
