Top 50 Sort By Count
Count     Total    Mean  Stddev    Min  P99.9    Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
23773    85.459  0.0036  0.0081  0.000  0.072  0.157  23773     0    0    0   285457995         22      12007      28487  GET /api/audience/dashboard HTTP/2
19604  2624.748  0.1339  0.1460  0.001  1.325  1.943  19604     0    0    0      196884          0         10        118  get /api/contestant/notifications?.*
 5917   231.730  0.0392  0.0907  0.001  0.755  0.948   5915     0    2    0        4098          0          0         61  GET /api/contestant/notifications HTTP/2
 3902   786.863  0.2017  0.1778  0.001  1.678  1.944   3900     0    2    0   176231963         61      45164      72186  GET /api/contestant/dashboard HTTP/2
 3842   506.305  0.1318  0.1468  0.001  1.209  1.368   3840     0    2    0     8744947          0       2276       7022  GET /api/contestant/benchmark_jobs HTTP/2
 3351    43.906  0.0131  0.0299  0.000  0.179  0.189   3351     0    0    0   150072596       2473      44784     105858  get /packs/.*
 3328    19.800  0.0059  0.0116  0.000  0.076  0.085   1057  2271    0    0     1215550          0        365       1150  GET /favicon.ico HTTP/2
 2471   337.666  0.1367  0.1662  0.000  1.188  1.626   2471     0    0    0      959679         34        388        473  GET /api/session HTTP/2
 2100  2031.179  0.9672  1.1011  0.002  8.695  9.750   2100     0    0    0       77559          5         36         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 1123  1038.024  0.9243  1.0063  0.001  5.062  5.306   1121     0    2    0     5275953          0       4698       9800  GET /api/contestant/clarifications HTTP/2
 1122     5.576  0.0050  0.0100  0.000  0.084  0.087     60  1062    0    0       23460          0         20        391  GET /contestant/clarifications HTTP/2
  965     8.311  0.0086  0.0162  0.000  0.080  0.080    120   845    0    0       46920          0         48        391  GET /contestant HTTP/2
  906    43.115  0.0476  0.0661  0.002  1.022  1.022    901     0    5    0       51969         53         57        127  POST /api/contestant/benchmark_jobs HTTP/2
  860   100.521  0.1169  0.1458  0.001  1.305  1.305    858     0    2    0      237536         61        276        311  get /api/contestant/benchmark_jobs/:id
  858     3.127  0.0036  0.0068  0.000  0.072  0.072    858     0    0    0      333762        389        389        389  GET / HTTP/2
  341    55.709  0.1634  0.1666  0.001  1.583  1.583    339     0    2    0      129811         61        380        426  POST /api/contestant/clarifications HTTP/2
  300    19.987  0.0666  0.0529  0.001  0.375  0.375    298     0    2    0      114052         61        380        426  get /api/admin/clarifications/:id
  300   125.164  0.4172  1.2471  0.001  9.108  9.108    298     0    2    0      129970         61        433        487  put /api/admin/clarifications/:id
  200     4.088  0.0204  0.0162  0.000  0.102  0.102    199     0    1    0          77          0          0         77  POST /api/signup HTTP/2
  199     4.040  0.0203  0.0161  0.000  0.084  0.084    198     1    0    0       77022          0        387        389  GET /signup HTTP/2
  124     0.705  0.0057  0.0097  0.000  0.070  0.070    124     0    0    0       48236        389        389        389  get /registration?
  124     3.963  0.0320  0.0211  0.002  0.145  0.145    122     0    2    0         152          0          1         97  POST /api/registration/contestant HTTP/2
   75     3.533  0.0471  0.0304  0.001  0.175  0.175     61     0   14    0        1084          2         14         91  POST /api/registration/team HTTP/2
   63     7.715  0.1225  0.3740  0.000  2.456  2.456     61     0    2    0      630105          0      10001     145607  GET /api/admin/clarifications HTTP/2
   61     3.882  0.0636  0.0472  0.003  0.225  0.225     61     0    0    0       29525        435        484        505  GET /api/registration/session HTTP/2
   60     0.298  0.0050  0.0211  0.000  0.158  0.158      1    59    0    0         386          0          6        386  GET /admin/clarifications HTTP/2
    6     0.029  0.0048  0.0090  0.000  0.025  0.025      4     0    2    0         274          0         45        137  POST /api/login HTTP/2
    2     0.190  0.0950  0.0050  0.090  0.100  0.100      2     0    0    0          56         28         28         28  POST /initialize HTTP/2

Top 50 Sort By Total
