Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
56635   711.571  0.0126  0.0475   0.000   0.617   1.008  56635     0    0    0   929536159         64      16412      31811  GET /api/audience/dashboard HTTP/2
44043  3768.577  0.0856  0.1304   0.000   1.416   2.668  44042     0    1    0          61          0          0         61  get /api/contestant/notifications?.*
12117   210.711  0.0174  0.0462   0.000   0.455   0.772  12113     0    4    0         244          0          0         61  GET /api/contestant/notifications HTTP/2
 8101  1792.092  0.2212  0.2000   0.000   1.681   1.949   8095     0    6    0   413038882         61      50986      81662  GET /api/contestant/dashboard HTTP/2
 7987  1168.935  0.1464  0.1796   0.000   1.679   2.535   7981     0    6    0    21336024          0       2671       7684  GET /api/contestant/benchmark_jobs HTTP/2
 7675    77.240  0.0101  0.0178   0.000   0.131   0.282   2348  5327    0    0     2700200          0        351       1150  GET /favicon.ico HTTP/2
 7407   109.184  0.0147  0.0324   0.000   0.393   0.486   7405     2    0    0   333449288          0      45018     230384  get /packs/.*
 5708   802.233  0.1405  0.1936   0.000   1.779   2.119   5708     0    0    0     2795575        123        489        584  GET /api/session HTTP/2
 4325  3736.983  0.8640  1.0622   0.002   9.627  10.034   4325     0    0    0      173341          5         40         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 2791  2221.849  0.7961  1.0545   0.000   5.556   5.815   2787     0    4    0    12901373          0       4622       9765  GET /api/contestant/clarifications HTTP/2
 2788    26.131  0.0094  0.0168   0.000   0.105   0.162    120  2668    0    0       46920          0         16        391  GET /contestant/clarifications HTTP/2
 2167    26.164  0.0121  0.0176   0.000   0.104   0.142    241  1926    0    0       94231          0         43        391  GET /contestant HTTP/2
 2047   136.591  0.0667  0.0990   0.001   1.104   1.741   2037     0   10    0      117514         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 1975   330.708  0.1674  0.1805   0.000   2.107   2.584   1971     0    4    0      545614         61        276        311  get /api/contestant/benchmark_jobs/:id
 1972    20.240  0.0103  0.0144   0.000   0.093   0.101   1971     1    0    0      766719          0        388        389  GET / HTTP/2
  667   137.978  0.2069  0.2392   0.000   2.008   2.008    663     0    4    0      255336         61        382        436  POST /api/contestant/clarifications HTTP/2
  627    48.120  0.0767  0.0997   0.000   0.745   0.745    623     0    4    0      240045         61        382        436  get /api/admin/clarifications/:id
  623   287.001  0.4607  1.0710   0.000   8.205   8.205    619     0    4    0      270989         61        434        507  put /api/admin/clarifications/:id
  378     5.261  0.0139  0.0120   0.000   0.107   0.107    376     0    2    0         154          0          0         77  POST /api/signup HTTP/2
  376     9.451  0.0251  0.0221   0.000   0.196   0.196    374     2    0    0      145486          0        386        389  GET /signup HTTP/2
  360    17.182  0.0477  0.0313   0.002   0.237   0.237    360     0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  248     7.994  0.0322  0.0181   0.002   0.091   0.091    244     0    4    0         304          0          1         97  POST /api/registration/contestant HTTP/2
  248     1.584  0.0064  0.0063   0.000   0.069   0.069    248     0    0    0       96472        389        389        389  get /registration?
  130    10.717  0.0824  0.2505   0.001   1.577   1.577    126     0    4    0     1227068          0       9438     152315  GET /api/admin/clarifications HTTP/2
  128     5.686  0.0444  0.0238   0.001   0.122   0.122    122     0    6    0         694          2          5         91  POST /api/registration/team HTTP/2
  125     0.742  0.0059  0.0157   0.000   0.094   0.094      2   123    0    0         772          0          6        386  GET /admin/clarifications HTTP/2
  123     5.972  0.0486  0.0228   0.000   0.101   0.101    123     0    0    0       59403          2        482        521  GET /api/registration/session HTTP/2
   11     0.013  0.0012  0.0016   0.000   0.005   0.005      7     0    4    0         548          0         49        137  POST /api/login HTTP/2
    4     0.390  0.0975  0.0066   0.087   0.105   0.105      4     0    0    0         112         28         28         28  POST /initialize HTTP/2

Top 50 Sort By Total
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
44043  3768.577  0.0856  0.1304   0.000   1.416   2.668  44042     0    1    0          61          0          0         61  get /api/contestant/notifications?.*
 4325  3736.983  0.8640  1.0622   0.002   9.627  10.034   4325     0    0    0      173341          5         40         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 2791  2221.849  0.7961  1.0545   0.000   5.556   5.815   2787     0    4    0    12901373          0       4622       9765  GET /api/contestant/clarifications HTTP/2
 8101  1792.092  0.2212  0.2000   0.000   1.681   1.949   8095     0    6    0   413038882         61      50986      81662  GET /api/contestant/dashboard HTTP/2
 7987  1168.935  0.1464  0.1796   0.000   1.679   2.535   7981     0    6    0    21336024          0       2671       7684  GET /api/contestant/benchmark_jobs HTTP/2
 5708   802.233  0.1405  0.1936   0.000   1.779   2.119   5708     0    0    0     2795575        123        489        584  GET /api/session HTTP/2
56635   711.571  0.0126  0.0475   0.000   0.617   1.008  56635     0    0    0   929536159         64      16412      31811  GET /api/audience/dashboard HTTP/2
 1975   330.708  0.1674  0.1805   0.000   2.107   2.584   1971     0    4    0      545614         61        276        311  get /api/contestant/benchmark_jobs/:id
  623   287.001  0.4607  1.0710   0.000   8.205   8.205    619     0    4    0      270989         61        434        507  put /api/admin/clarifications/:id
12117   210.711  0.0174  0.0462   0.000   0.455   0.772  12113     0    4    0         244          0          0         61  GET /api/contestant/notifications HTTP/2
  667   137.978  0.2069  0.2392   0.000   2.008   2.008    663     0    4    0      255336         61        382        436  POST /api/contestant/clarifications HTTP/2
 2047   136.591  0.0667  0.0990   0.001   1.104   1.741   2037     0   10    0      117514         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 7407   109.184  0.0147  0.0324   0.000   0.393   0.486   7405     2    0    0   333449288          0      45018     230384  get /packs/.*
 7675    77.240  0.0101  0.0178   0.000   0.131   0.282   2348  5327    0    0     2700200          0        351       1150  GET /favicon.ico HTTP/2
  627    48.120  0.0767  0.0997   0.000   0.745   0.745    623     0    4    0      240045         61        382        436  get /api/admin/clarifications/:id
 2167    26.164  0.0121  0.0176   0.000   0.104   0.142    241  1926    0    0       94231          0         43        391  GET /contestant HTTP/2
 2788    26.131  0.0094  0.0168   0.000   0.105   0.162    120  2668    0    0       46920          0         16        391  GET /contestant/clarifications HTTP/2
 1972    20.240  0.0103  0.0144   0.000   0.093   0.101   1971     1    0    0      766719          0        388        389  GET / HTTP/2
  360    17.182  0.0477  0.0313   0.002   0.237   0.237    360     0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  130    10.717  0.0824  0.2505   0.001   1.577   1.577    126     0    4    0     1227068          0       9438     152315  GET /api/admin/clarifications HTTP/2
  376     9.451  0.0251  0.0221   0.000   0.196   0.196    374     2    0    0      145486          0        386        389  GET /signup HTTP/2
  248     7.994  0.0322  0.0181   0.002   0.091   0.091    244     0    4    0         304          0          1         97  POST /api/registration/contestant HTTP/2
  123     5.972  0.0486  0.0228   0.000   0.101   0.101    123     0    0    0       59403          2        482        521  GET /api/registration/session HTTP/2
  128     5.686  0.0444  0.0238   0.001   0.122   0.122    122     0    6    0         694          2          5         91  POST /api/registration/team HTTP/2
  378     5.261  0.0139  0.0120   0.000   0.107   0.107    376     0    2    0         154          0          0         77  POST /api/signup HTTP/2
  248     1.584  0.0064  0.0063   0.000   0.069   0.069    248     0    0    0       96472        389        389        389  get /registration?
  125     0.742  0.0059  0.0157   0.000   0.094   0.094      2   123    0    0         772          0          6        386  GET /admin/clarifications HTTP/2
    4     0.390  0.0975  0.0066   0.087   0.105   0.105      4     0    0    0         112         28         28         28  POST /initialize HTTP/2
   11     0.013  0.0012  0.0016   0.000   0.005   0.005      7     0    4    0         548          0         49        137  POST /api/login HTTP/2

Top 50 Sort By Mean
