Top 50 Sort By Count
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
26643  8527.752  0.3201  0.5135   0.000   2.327   2.400  26643    0    0    0  1134981610       8294      42599      54621  GET /api/audience/dashboard HTTP/2
21142  5959.988  0.2819  0.3272   0.003   3.117   3.239  21142    0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 9884   269.932  0.0273  0.1071   0.001   1.068   1.256   9882    0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
 6258   155.085  0.0248  0.0606   0.000   1.057   1.159   6258    0    0    0   281002530       2473      44902     105858  get /packs/.*
 5902  2125.937  0.3602  0.4367   0.002   3.249   3.548   5900    0    2    0    16705648          0       2830      11281  GET /api/contestant/benchmark_jobs HTTP/2
 5408  4191.538  0.7751  0.4600   0.001   2.720   3.319   5406    0    2    0   503577972         61      93117     143778  GET /api/contestant/dashboard HTTP/2
 4670   849.730  0.1820  0.3375   0.000   3.151   3.206   4670    0    0    0     2284485        123        489        566  GET /api/session HTTP/2
 2252   724.719  0.3218  0.4685   0.001   3.174   3.214   2250    0    2    0    11734379          0       5210      10277  GET /api/contestant/clarifications HTTP/2
 1980    25.713  0.0130  0.0245   0.000   0.307   0.489   1980    0    0    0     2277000       1150       1150       1150  GET /favicon.ico HTTP/2
 1689   738.823  0.4374  0.3867   0.002   3.149   3.176   1684    0    5    0       97107         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 1674  5446.099  3.2533  2.3524   0.762  10.380  10.407   1674    0    0    0      133342         78         79         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 1650   685.880  0.4157  0.4349   0.002   3.149   3.173   1648    0    2    0      455715         61        276        313  get /api/contestant/benchmark_jobs/:id
 1648    38.050  0.0231  0.0582   0.000   0.632   0.696   1648    0    0    0      416944        253        253        253  GET / HTTP/2
  405   339.051  0.8372  0.8989   0.002   3.213   3.213    403    0    2    0      154780         61        382        431  POST /api/contestant/clarifications HTTP/2
  373    94.252  0.2527  0.2507   0.002   2.087   2.087    371    0    2    0      142521         61        382        431  get /api/admin/clarifications/:id
  364   308.529  0.8476  0.8733   0.001  11.253  11.253    362    0    2    0      158244         61        434        501  put /api/admin/clarifications/:id
  333     3.452  0.0104  0.0122   0.000   0.062   0.062    332    0    1    0          77          0          0         77  POST /api/signup HTTP/2
  331     6.036  0.0182  0.0171   0.000   0.090   0.090    331    0    0    0       83743        253        253        253  GET /signup HTTP/2
  318     8.620  0.0271  0.0191   0.002   0.106   0.106    318    0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  216     6.885  0.0319  0.0216   0.002   0.108   0.108    214    0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
  216     0.875  0.0041  0.0048   0.000   0.032   0.032    216    0    0    0       54648        253        253        253  get /registration?
  212    12.145  0.0573  0.0068   0.045   0.073   0.073    212    0    0    0       53636        253        253        253  GET /contestant HTTP/2
  116     3.465  0.0299  0.0174   0.001   0.074   0.074    107    0    9    0         841          2          7         91  POST /api/registration/team HTTP/2
  107     4.352  0.0407  0.0258   0.003   0.144   0.144    107    0    0    0       23965        223        223        225  GET /api/registration/session HTTP/2
  106     2.119  0.0200  0.0163   0.000   0.133   0.133    106    0    0    0       26818        253        253        253  GET /contestant/clarifications HTTP/2
   60     3.190  0.0532  0.1543   0.001   0.867   0.867     58    0    2    0      487043          0       8117     157886  GET /api/admin/clarifications HTTP/2
    5     0.007  0.0014  0.0008   0.001   0.003   0.003      3    0    2    0         274          0         54        137  POST /api/login HTTP/2
    2     0.206  0.1030  0.0130   0.090   0.116   0.116      2    0    0    0          56         28         28         28  POST /initialize HTTP/2
    1     0.000  0.0000  0.0000   0.000   0.000   0.000      1    0    0    0         252        252        252        252  GET /admin/clarifications HTTP/2

Top 50 Sort By Total
Count     Total    Mean  Stddev     Min   P99.9     Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
26643  8527.752  0.3201  0.5135   0.000   2.327   2.400  26643    0    0    0  1134981610       8294      42599      54621  GET /api/audience/dashboard HTTP/2
21142  5959.988  0.2819  0.3272   0.003   3.117   3.239  21142    0    0    0           0          0          0          0  get /api/contestant/notifications?.*
 1674  5446.099  3.2533  2.3524   0.762  10.380  10.407   1674    0    0    0      133342         78         79         80  POST /xsuportal.proto.services.bench.BenchmarkQueue/ReceiveBenchmarkJob HTTP/2
 5408  4191.538  0.7751  0.4600   0.001   2.720   3.319   5406    0    2    0   503577972         61      93117     143778  GET /api/contestant/dashboard HTTP/2
 5902  2125.937  0.3602  0.4367   0.002   3.249   3.548   5900    0    2    0    16705648          0       2830      11281  GET /api/contestant/benchmark_jobs HTTP/2
 4670   849.730  0.1820  0.3375   0.000   3.151   3.206   4670    0    0    0     2284485        123        489        566  GET /api/session HTTP/2
 1689   738.823  0.4374  0.3867   0.002   3.149   3.176   1684    0    5    0       97107         54         57        127  POST /api/contestant/benchmark_jobs HTTP/2
 2252   724.719  0.3218  0.4685   0.001   3.174   3.214   2250    0    2    0    11734379          0       5210      10277  GET /api/contestant/clarifications HTTP/2
 1650   685.880  0.4157  0.4349   0.002   3.149   3.173   1648    0    2    0      455715         61        276        313  get /api/contestant/benchmark_jobs/:id
  405   339.051  0.8372  0.8989   0.002   3.213   3.213    403    0    2    0      154780         61        382        431  POST /api/contestant/clarifications HTTP/2
  364   308.529  0.8476  0.8733   0.001  11.253  11.253    362    0    2    0      158244         61        434        501  put /api/admin/clarifications/:id
 9884   269.932  0.0273  0.1071   0.001   1.068   1.256   9882    0    2    0         122          0          0         61  GET /api/contestant/notifications HTTP/2
 6258   155.085  0.0248  0.0606   0.000   1.057   1.159   6258    0    0    0   281002530       2473      44902     105858  get /packs/.*
  373    94.252  0.2527  0.2507   0.002   2.087   2.087    371    0    2    0      142521         61        382        431  get /api/admin/clarifications/:id
 1648    38.050  0.0231  0.0582   0.000   0.632   0.696   1648    0    0    0      416944        253        253        253  GET / HTTP/2
 1980    25.713  0.0130  0.0245   0.000   0.307   0.489   1980    0    0    0     2277000       1150       1150       1150  GET /favicon.ico HTTP/2
  212    12.145  0.0573  0.0068   0.045   0.073   0.073    212    0    0    0       53636        253        253        253  GET /contestant HTTP/2
  318     8.620  0.0271  0.0191   0.002   0.106   0.106    318    0    0    0           0          0          0          0  POST /api/contestant/push_subscriptions HTTP/2
  216     6.885  0.0319  0.0216   0.002   0.108   0.108    214    0    2    0         152          0          0         97  POST /api/registration/contestant HTTP/2
  331     6.036  0.0182  0.0171   0.000   0.090   0.090    331    0    0    0       83743        253        253        253  GET /signup HTTP/2
  107     4.352  0.0407  0.0258   0.003   0.144   0.144    107    0    0    0       23965        223        223        225  GET /api/registration/session HTTP/2
  116     3.465  0.0299  0.0174   0.001   0.074   0.074    107    0    9    0         841          2          7         91  POST /api/registration/team HTTP/2
  333     3.452  0.0104  0.0122   0.000   0.062   0.062    332    0    1    0          77          0          0         77  POST /api/signup HTTP/2
   60     3.190  0.0532  0.1543   0.001   0.867   0.867     58    0    2    0      487043          0       8117     157886  GET /api/admin/clarifications HTTP/2
